"event_date","account_id","plan_id","event_type","invoice_charge_amount","prev_plan_id","status","status_reason","currency","invoice_charge_amount_usd","mrr_gain","subscription_id","next_charge_date","payment_type","transaction_date"
"2019-01-29",2794489,231,"FREE_DAYS_WERE_GIVEN",0.00,NULL,"","","",0.00,NULL,NULL,"2020-01-17 08:00:00","",NULL
"2019-01-28",2794489,232,"RECURRING",258.72,232,"","","USD",258.72,NULL,66852410,"2020-01-28 14:40:00","CC","2019-01-28 14:40:00"
"2019-01-17",2794489,231,"CHARGE",468.00,NULL,"","","USD",468.00,39.00,66852410,"2020-01-17 08:51:00","CC","2019-01-17 08:51:00"
"2019-01-28",2794489,232,"CONTRACT_CHANGE",0.00,231,"SUCCESS","","USD",0.00,20.00,66852410,"2020-01-28 14:40:00","CC","2019-01-28 14:40:00"
"2019-01-14",2793704,231,"CHARGE",624.00,NULL,"","","CAD",460.64,39.00,66569204,"2020-01-14 15:16:00","CC","2019-01-14 15:16:00"
"2019-01-15",2793906,239,"CHARGE",1428.00,NULL,"","","USD",1428.00,119.00,66641482,"2020-01-15 04:57:00","CC","2019-01-15 04:57:00"
"2019-01-15",2793906,239,"CC_CHARGE_FAILED",0.00,239,"","This transaction has been declined. Please check card details and try again, or contact your bank for assistance","USD",0.00,NULL,NULL,NULL,"CC","2019-01-15 04:56:00"
"2019-01-03",2794458,232,"RECURRING",291.01,232,"","","USD",291.01,NULL,65496398,"2020-01-03 16:20:00","CC","2019-01-03 16:20:00"
"2019-01-03",2794458,232,"CONTRACT_CHANGE",0.00,231,"SUCCESS","","USD",0.00,24.00,65496398,"2020-01-03 16:20:00","CC","2019-01-03 16:20:00"
"2019-01-02",2794458,231,"CHARGE",421.20,NULL,"","","USD",421.20,35.00,65496398,"2020-01-02 15:46:00","CC","2019-01-02 15:46:00"
"2019-07-22",2794064,232,"CONTRACT_CHANGE",0.00,231,"SUCCESS","","AUD",0.00,19.00,66092630,"2020-07-22 07:33:00","CC","2019-07-22 07:33:00"
"2019-01-08",2794064,231,"CHARGE",624.00,NULL,"","","AUD",436.18,37.00,66092630,"2020-01-08 22:31:00","CC","2019-01-08 22:31:00"
"2019-07-22",2794064,232,"RECURRING",660.96,232,"","","AUD",455.81,NULL,66092630,"2020-07-22 07:33:00","CC","2019-07-22 07:33:00"
"2019-01-19",2794278,199,"CANCEL_ON_RENEWAL",0.00,199,"","","USD",0.00,NULL,65670660,"2019-02-04 10:17:00","CC","2019-01-19 14:45:00"
"2019-02-04",2794278,199,"CANCELLATION",0.00,199,"","","USD",0.00,-48.00,65670660,"2019-02-04 10:17:00","CC","2019-02-04 10:33:00"
"2019-01-04",2794278,199,"CHARGE",48.00,NULL,"","","USD",48.00,48.00,65670660,"2019-02-04 10:17:00","CC","2019-01-04 10:17:00"
"2019-01-21",2793789,231,"CHARGE",468.00,NULL,"","","USD",468.00,39.00,67146528,"2020-01-21 06:06:00","CC","2019-01-21 06:06:00"
"2019-01-18",2793567,232,"CONTRACT_CHANGE",0.00,231,"SUCCESS","","CAD",0.00,20.00,66577666,"2020-01-18 15:09:00","CC","2019-01-18 15:09:00"
"2019-03-20",2793567,264,"CONTRACT_CHANGE",0.00,232,"SUCCESS","","CAD",0.00,-10.00,66577666,"2021-03-20 20:38:00","CC","2019-03-20 20:38:00"
"2019-01-18",2793567,232,"RECURRING",336.48,232,"","","CAD",248.73,NULL,66577666,"2020-01-18 15:09:00","CC","2019-01-18 15:09:00"
"2019-01-18",2793567,232,"FREE_DAYS_WERE_GIVEN",0.00,NULL,"","","",0.00,NULL,NULL,"2020-03-18 07:00:00","",NULL
"2019-03-20",2793567,264,"RECURRING",797.16,264,"","","CAD",585.82,NULL,66577666,"2021-03-20 20:38:00","CC","2019-03-20 20:38:00"
"2019-01-14",2793567,231,"CHARGE",624.00,NULL,"","","CAD",460.64,39.00,66577666,"2020-01-14 16:33:00","CC","2019-01-14 16:33:00"
"2019-03-20",2793567,264,"FREE_DAYS_WERE_GIVEN",0.00,NULL,"","","",0.00,NULL,NULL,"2021-05-20 07:00:00","",NULL
"2019-01-11",2793828,230,"CHARGE",276.00,NULL,"","","USD",276.00,23.00,66303986,"2020-01-11 03:35:00","CC","2019-01-11 03:35:00"
"2019-01-15",2794328,198,"CHARGE",25.00,NULL,"","","GBP",31.48,32.00,66658322,"2019-02-15 12:38:00","CC","2019-01-15 12:38:00"
"2019-04-30",2794328,202,"REFUND",-51.00,202,"","","GBP",-64.38,NULL,66658322,"2019-05-28 09:13:00","CC","2019-04-30 10:08:00"
"2019-01-30",2794328,202,"CONTRACT_CHANGE",0.00,198,"SUCCESS","","GBP",0.00,35.00,66658322,"2019-02-28 10:13:00","CC","2019-01-30 10:13:00"
"2019-04-30",2794328,202,"CANCEL_ON_RENEWAL",0.00,202,"","","GBP",0.00,NULL,66658322,"2019-05-28 09:13:00","CC","2019-04-30 09:49:00"
"2019-04-28",2794328,202,"RECURRING",51.00,202,"","","GBP",64.38,-1.00,66658322,"2019-05-28 09:13:00","CC","2019-04-28 11:17:00"
"2019-02-28",2794328,202,"RECURRING",51.00,202,"","","GBP",66.56,1.00,66658322,"2019-03-28 09:13:00","CC","2019-02-28 10:37:00"
"2019-01-30",2794328,202,"RECURRING",38.25,202,"","","GBP",49.28,NULL,66658322,"2019-02-28 10:13:00","CC","2019-01-30 10:13:00"
"2019-04-30",2794328,202,"CANCELLATION",0.00,202,"","","GBP",0.00,-66.00,66658322,"2019-05-28 09:13:00","CC","2019-04-30 10:08:00"
"2019-03-28",2794328,202,"RECURRING",51.00,202,"","","GBP",66.12,-1.00,66658322,"2019-04-28 09:13:00","CC","2019-03-28 09:24:00"
"2019-01-17",2793924,264,"CONTRACT_CHANGE",0.00,263,"SUCCESS","","USD",0.00,17.00,66839172,"2021-01-17 13:06:00","CC","2019-01-17 13:06:00"
"2019-01-17",2793924,263,"CHARGE",768.00,NULL,"","","USD",768.00,32.00,66839172,"2021-01-17 03:06:00","CC","2019-01-17 03:06:00"
"2019-01-17",2793924,264,"RECURRING",408.00,264,"","","USD",408.00,NULL,66839172,"2021-01-17 13:06:00","CC","2019-01-17 13:06:00"
"2019-06-29",2793924,268,"CONTRACT_CHANGE",0.00,264,"SUCCESS","","USD",0.00,50.00,66839172,"2021-06-29 10:08:00","CC","2019-06-29 10:08:00"
"2019-06-29",2793924,268,"RECURRING",1470.48,268,"","","USD",1470.48,NULL,66839172,"2021-06-29 10:08:00","CC","2019-06-29 10:08:00"
"2019-01-12",2794423,232,"CHARGE",708.00,NULL,"","","USD",708.00,59.00,66415970,"2020-01-12 13:22:00","CC","2019-01-12 13:22:00"
"2019-02-28",2794463,818,"CHARGE",48.00,NULL,"","","USD",48.00,48.00,70971926,"2019-03-28 21:07:00","CC","2019-02-28 22:07:00"
"2019-04-03",2794463,200,"RECURRING",33.60,200,"","","USD",33.60,NULL,70971926,"2019-05-03 10:11:00","CC","2019-04-03 10:11:00"
"2019-03-28",2794463,818,"RECURRING",48.00,818,"","","USD",48.00,0.00,70971926,"2019-04-28 21:07:00","CC","2019-03-28 21:23:00"
"2019-05-03",2794463,200,"RECURRING",72.00,200,"","","USD",72.00,0.00,70971926,"2019-06-03 10:11:00","CC","2019-05-03 10:34:00"
"2019-07-03",2794463,200,"RECURRING",72.00,200,"","","USD",72.00,0.00,70971926,"2019-08-03 10:11:00","CC","2019-07-03 10:01:00"
"2019-06-03",2794463,200,"RECURRING",72.00,200,"","","USD",72.00,0.00,70971926,"2019-07-03 10:11:00","CC","2019-06-03 10:33:00"
"2019-04-03",2794463,200,"CONTRACT_CHANGE",0.00,818,"SUCCESS","","USD",0.00,24.00,70971926,"2019-05-03 10:11:00","CC","2019-04-03 10:11:00"
"2019-01-09",2794383,232,"RECURRING",240.39,232,"","","GBP",300.52,NULL,65941602,"2020-01-09 09:04:00","CC","2019-01-09 09:04:00"
"2019-01-30",2794383,236,"CONTRACT_CHANGE",0.00,232,"SUCCESS","","GBP",0.00,69.00,65941602,"2020-01-30 10:29:00","CC","2019-01-30 10:29:00"
"2019-01-30",2794383,236,"RECURRING",648.72,236,"","","GBP",835.92,NULL,65941602,"2020-01-30 10:29:00","CC","2019-01-30 10:29:00"
"2019-01-07",2794383,231,"CHARGE",375.36,NULL,"","","GBP",468.67,40.00,65941602,"2020-01-07 14:01:00","CC","2019-01-07 14:01:00"
"2019-01-09",2794383,232,"CONTRACT_CHANGE",0.00,231,"SUCCESS","","GBP",0.00,25.00,65941602,"2020-01-09 09:04:00","CC","2019-01-09 09:04:00"
"2019-07-12",2794060,200,"SUBSCRIPTION_CHARGE_FAILURE",0.00,200,"","Insufficient funds. Please use another card or contact your bank for assistance (PV-51)","USD",0.00,NULL,66570782,"2019-07-02 15:41:00","CC","2019-07-12 16:03:00"
"2019-07-07",2794060,200,"SUBSCRIPTION_CHARGE_FAILURE",0.00,200,"","Insufficient funds. Please use another card or contact your bank for assistance (PV-51)","USD",0.00,NULL,66570782,"2019-07-02 15:41:00","CC","2019-07-07 16:02:00"
"2019-04-17",2794060,200,"PAYMENT_METHOD_UPDATED",0.00,200,"","","",0.00,NULL,66570782,NULL,"CC","2019-04-17 19:40:00"
"2019-04-17",2794060,200,"PAYMENT_METHOD_UPDATED",0.00,200,"","","",0.00,NULL,66570782,NULL,"CC","2019-04-17 18:38:00"
"2019-04-17",2794060,200,"RECURRING",72.00,200,"","","USD",72.00,0.00,66570782,"2019-05-02 15:41:00","CC","2019-04-17 19:40:00"
"2019-07-16",2794060,199,"RECURRING",48.00,199,"","","USD",48.00,NULL,66570782,"2019-08-16 20:15:00","CC","2019-07-16 20:15:00"
"2019-02-02",2794060,200,"RECURRING",53.76,200,"","","USD",53.76,NULL,66570782,"2019-03-02 16:41:00","PAYPAL","2019-02-02 16:41:00"
"2019-01-14",2794060,199,"CHARGE",48.00,NULL,"","","USD",48.00,48.00,66570782,"2019-02-14 15:33:00","PAYPAL","2019-01-14 15:34:00"
"2019-02-02",2794060,200,"CONTRACT_CHANGE",0.00,199,"SUCCESS","","USD",0.00,24.00,66570782,"2019-03-02 16:41:00","PAYPAL","2019-02-02 16:41:00"
"2019-07-03",2794060,232,"CONTRACT_CHANGE",0.00,200,"FAILED","Insufficient funds. Please use another card or contact your bank for assistance (PV-51)","USD",0.00,NULL,66570782,"2019-07-02 15:41:00","PAYPAL","2019-07-03 17:08:00"
"2019-06-02",2794060,200,"RECURRING",72.00,200,"","","USD",72.00,0.00,66570782,"2019-07-02 15:41:00","CC","2019-06-02 15:34:00"
"2019-04-17",2794060,200,"SUBSCRIPTION_CHARGE_FAILURE",0.00,200,"","This transaction has been declined. Please try a different card or contact the credit card provider for assistance:[Do not Honour] (PV-05)","USD",0.00,NULL,66570782,"2019-04-02 15:41:00","CC","2019-04-17 18:38:00"
"2019-07-16",2794060,199,"CONTRACT_CHANGE",0.00,200,"SUCCESS","","USD",0.00,-24.00,66570782,"2019-08-16 20:15:00","CC","2019-07-16 20:15:00"
"2019-07-16",2794060,200,"RECURRING",24.00,200,"","","USD",24.00,NULL,66570782,"2019-08-16 20:17:00","CC","2019-07-16 20:17:00"
"2019-04-09",2794060,200,"SUBSCRIPTION_CHARGE_FAILURE",0.00,200,"","10417: Transaction cannot complete.","USD",0.00,NULL,66570782,"2019-04-02 15:41:00","PAYPAL","2019-04-09 16:24:00"
"2019-04-17",2794060,200,"SUBSCRIPTION_CHARGE_FAILURE",0.00,200,"","This transaction has been declined. Please try a different card or contact the credit card provider for assistance:[Do not Honour] (PV-05)","USD",0.00,NULL,66570782,"2019-04-02 15:41:00","CC","2019-04-17 19:23:00"
"2019-07-16",2794060,200,"CONTRACT_CHANGE",0.00,199,"SUCCESS","","USD",0.00,24.00,66570782,"2019-08-16 20:17:00","CC","2019-07-16 20:17:00"
"2019-05-02",2794060,200,"RECURRING",72.00,200,"","","USD",72.00,0.00,66570782,"2019-06-02 15:41:00","CC","2019-05-02 15:34:00"
"2019-07-02",2794060,200,"SUBSCRIPTION_CHARGE_FAILURE",0.00,200,"","Insufficient funds. Please use another card or contact your bank for assistance (PV-51)","USD",0.00,NULL,66570782,"2019-07-02 15:41:00","CC","2019-07-02 15:03:00"
"2019-04-02",2794060,200,"SUBSCRIPTION_CHARGE_FAILURE",0.00,200,"","10417: Transaction cannot complete.","USD",0.00,NULL,66570782,"2019-04-02 15:41:00","PAYPAL","2019-04-02 15:24:00"
"2019-03-02",2794060,200,"RECURRING",72.00,200,"","","USD",72.00,0.00,66570782,"2019-04-02 15:41:00","PAYPAL","2019-03-02 16:34:00"
"2019-01-10",2793508,200,"CHARGE",72.00,NULL,"","","USD",72.00,72.00,66280160,"2019-02-10 22:16:00","PAYPAL","2019-01-10 22:16:00"
"2019-02-10",2793508,200,"CANCELLATION",0.00,200,"","","USD",0.00,-72.00,66280160,"2019-02-10 22:16:00","PAYPAL","2019-02-10 22:33:00"
"2019-02-06",2793508,200,"CANCEL_ON_RENEWAL",0.00,200,"","","USD",0.00,NULL,66280160,"2019-02-10 22:16:00","PAYPAL","2019-02-06 11:07:00"
"2019-06-21",2793730,234,"RECURRING",420.00,234,"","","USD",420.00,NULL,66630878,"2020-06-21 10:03:00","CC","2019-06-21 10:03:00"
"2019-06-21",2793730,234,"CONTRACT_CHANGE",0.00,230,"SUCCESS","","USD",0.00,24.00,66630878,"2020-06-21 10:03:00","CC","2019-06-21 10:03:00"
"2019-01-15",2793730,230,"CHARGE",300.00,NULL,"","","USD",300.00,25.00,66630878,"2020-01-15 01:34:00","CC","2019-01-15 01:35:00"
