"account_id","user_id","created_at","is_admin","pending","enabled","became_active_at","time_diff","city","region","country","serial_number","has_photo","device","os","browser","is_gmail","campaign_id","first_user_in_account_id","LANGUAGE","gender","seniority","title","mobile_activation_date","has_phone"
2793510,6181365,"2019-01-01",1,0,1,"2019-01-01",-5,"Toronto","Ontario","CA",1,1,"desktop","windows","chrome",1,4005527,29838176,"","F",NULL,NULL,NULL,1
2793511,6181366,"2019-01-01",1,0,1,"2019-01-01",-6,"Austin","Texas","US",1,1,"tablet","ios","safari",0,4005528,29838154,"","F",NULL,NULL,NULL,1
2793512,6181367,"2019-01-01",1,0,1,"2019-01-01", 3,"Riyadh","Ar Riyad","SA",1,1,"desktop","windows","chrome",1,4005529,29838184,"","M",NULL,NULL,NULL,1
2793513,6181373,"2019-01-01",1,0,1,"2019-01-01","","La Conner","Washington","US",1,1,"mobile","ios",NULL,1,4005530,29838298,"","F",NULL,NULL,"2019-01-01",1
2793514,6181358,"2019-01-01",1,0,1,"2019-01-01",8,"Singapore","Central Singapore Community Development Council","SG",1,1,"mobile","ios",NULL,0,4005531,29838028,"","M",NULL,NULL,"2019-01-01",1
2793515,6181370,"2019-01-01",1,0,1,"2019-01-01",-5,"Atlanta","Georgia","US",1,1,"desktop","windows","chrome",0,4005532,29838271,"","F","none","Independent Distributor",NULL,1
2793516,6181379,"2019-01-01",1,0,1,"2019-01-01",-5,"Wallingford","Connecticut","US",1,1,"mobile","ios","safari",0,4005533,29838321,"","M","executive","CEO",NULL,1
2793517,6181353,"2019-01-01",1,0,1,"2019-01-01",-6,"Huntley","Illinois","US",1,1,"desktop","windows","microsoft edge",1,4005534,29837972,"","F","none"," ",NULL,1
2793518,6181374,"2019-01-01",1,0,1,"2019-01-01",-5,"Dallas","Pennsylvania","US",1,1,"desktop","windows","chrome",0,4005535,29838315,"","M",NULL,NULL,NULL,1
2793519,6181302,"2018-12-31",1,0,1,"2019-01-01",10,"Ringwood","Victoria","AU",1,1,"desktop","mac","chrome",0,4005536,29837474,"","F","none","Design Lecturer",NULL,1
2793520,6181391,"2019-01-01",1,0,1,"2019-01-01",-5,"","Ohio","US",1,1,NULL,NULL,NULL,1,4005537,29838421,"","M",NULL,NULL,"2019-01-01",1
2793521,6181387,"2019-01-01",1,0,1,"2019-01-01",-7,"Santa Monica","California","US",1,1,"mobile","ios","safari",1,4005538,21831481,"","M",NULL,NULL,NULL,1
2793522,6181396,"2019-01-01",1,0,1,"2019-01-01",-6,"Chicago","Illinois","US",1,1,"mobile","android","chrome",1,4005539,29838452,"","F",NULL,NULL,NULL,1
2793523,6181395,"2019-01-01",1,0,1,"2019-01-01",1,"Santa Olalla","Castille-La Mancha","ES",1,1,"desktop","windows","chrome",1,4005542,29838442,"es","M",NULL,NULL,NULL,1
2793524,6181393,"2019-01-01",1,0,1,"2019-01-01",1,"Hook","England","GB",1,1,"desktop","windows","chrome",1,4005541,29838419,"",NULL,NULL,NULL,NULL,1
2793525,6181399,"2019-01-01",1,0,1,"2019-01-01", 1,"Prague","Hlavni mesto Praha","CZ",1,1,"mobile","ios","generic browser",0,4005545,29838488,"","M","none"," ",NULL,1
2793526,6181394,"2019-01-01",1,0,1,"2019-01-01",-8,"Providence","Utah","US",1,1,"desktop","windows","firefox",1,4005546,29838339,"","M",NULL,NULL,NULL,1
2793527,6181398,"2019-01-01",1,0,1,"2019-01-01",8,"Singapore","Central Singapore Community Development Council","SG",1,1,"mobile","ios",NULL,1,4005547,29838473,"","M",NULL,NULL,"2019-01-01",1
2793528,6181400,"2019-01-01",1,0,1,"2019-01-01","","Mason","Michigan","US",1,1,"mobile","ios",NULL,1,4005548,29838514,"","F",NULL,NULL,"2019-01-01",1
2793529,6181401,"2019-01-01",1,0,1,"2019-01-01",-8,"Lewiston","Idaho","US",1,1,"desktop","windows","chrome",1,4005549,29838502,"","M",NULL,NULL,NULL,1
2793530,6181360,"2019-01-01",1,0,1,"2019-01-01", 1,"Relizane","Relizane","DZ",1,1,"desktop","windows","chrome",1,2108366,14822078,"en","M","none","student ",NULL,1
2793531,6181412,"2019-01-01",1,0,1,"2019-01-01",1,"Montreuil","Ile-de-France","FR",1,1,"mobile","ios","generic browser",0,4005550,29838613,"fr","M","director","Head of Marketing, Communications",NULL,1
2793532,6181410,"2019-01-01",1,0,1,"2019-01-01",8,"Shanghai","Shanghai","CN",1,1,"desktop","mac","safari",1,3085778,21913327,"","M",NULL,NULL,NULL,1
2793533,6181413,"2019-01-01",1,0,1,"2019-01-01","","Virginia Beach","Virginia","US",1,1,"mobile","ios",NULL,1,4005551,29838620,"",NULL,NULL,NULL,"2019-01-01",1
2793534,6181416,"2019-01-01",1,0,1,"2019-01-01","","Orlando","Florida","US",1,1,"mobile","ios",NULL,1,4005552,29838671,"","M",NULL,NULL,"2019-01-01",1
2793535,6181420,"2019-01-01",1,0,1,"2019-01-01",-8,"Oakland","California","US",1,1,"desktop","mac","chrome",1,1970566,13831426,"","M",NULL,NULL,NULL,1
2793536,6181425,"2019-01-01",1,0,1,"2019-01-01","","Seattle","Washington","US",1,1,"mobile","ios",NULL,1,4005555,29838746,"","M",NULL,NULL,"2019-01-01",1
2793537,6181419,"2019-01-01",1,0,1,"2019-01-01",0,"Athlone","Leinster","IE",1,1,"desktop","windows","chrome",1,4005556,29838323,"","M","none","Master James ","2019-01-01",1
2793538,6181308,"2018-12-31",1,0,1,"2019-01-01",1,"","","",1,1,"mobile","ios","safari",1,4005557,29837550,"fr","M",NULL,NULL,NULL,1
2793539,6181423,"2019-01-01",1,0,1,"2019-01-01",-5,"Cancún","Quintana Roo","MX",1,1,"desktop","mac","chrome",1,4005558,29838699,"","M",NULL,NULL,NULL,1
2793540,6181430,"2019-01-01",1,0,1,"2019-01-01", 13.75,"Suva","Central","FJ",1,1,"desktop","windows","chrome",0,4005559,29838800,"","F","none"," ",NULL,1
2793541,6181429,"2019-01-01",1,0,1,"2019-01-01",-8,"Tyler","Texas","US",1,1,"desktop","windows","microsoft edge",1,4005560,29836849,"","F",NULL,NULL,NULL,1
2793542,6181424,"2019-01-01",1,0,1,"2019-01-01",3.5,"Frankfurt Am Main","Hessen","DE",1,1,"desktop","windows","opera",1,4005561,29838752,"","M",NULL,NULL,NULL,1
2793543,6181428,"2019-01-01",1,0,1,"2019-01-01",-6,"Santa Catarina Pinula","Guatemala","GT",1,1,"mobile","ios","safari",0,4005562,29838688,"es","M","none"," ",NULL,1
2793544,6175504,"2018-12-30",1,0,1,"2019-01-01",-5,"","","MX",1,1,"mobile","ios","generic browser",1,1088639,4408583,"es","M",NULL,NULL,NULL,1
2793545,6181435,"2019-01-01",1,0,1,"2019-01-01",-6,"Los Platanos","Jalisco","MX",1,1,"desktop","mac","chrome",1,4005563,29838801,"","M",NULL,NULL,NULL,1
2793546,6181442,"2019-01-01",1,0,1,"2019-01-01",-8,"Mission Hills","California","US",1,1,"mobile","ios",NULL,1,4005564,29838873,"","M",NULL,NULL,"2019-01-01",1
2793547,6181440,"2019-01-01",1,0,1,"2019-01-01",-7,"Saint George","Utah","US",1,1,"desktop","mac","chrome",0,4005566,29838851,"","M",NULL,NULL,NULL,1
2793548,6181437,"2019-01-01",1,0,1,"2019-01-01",-5,"Columbia","South Carolina","US",1,1,"desktop","mac","safari",1,4005565,29612164,"","F",NULL,NULL,NULL,1
2793549,6181444,"2019-01-01",1,0,1,"2019-01-01",-5,"Richardson","Texas","US",1,1,"desktop","windows","chrome",1,4005569,29838912,"","M",NULL,NULL,NULL,1
2793550,6175712,"2018-12-30",1,0,1,"2019-01-01", 11,"Melbourne","Victoria","AU",1,1,"mobile","ios","generic browser",0,4005570,29803211,"","F","none"," ",NULL,1
2793551,6181445,"2019-01-01",1,0,1,"2019-01-01","","Sylvania","Ohio","US",1,1,"mobile","ios",NULL,1,4005571,29838855,"","F",NULL,NULL,"2019-01-01",1
2793552,6181446,"2019-01-01",1,0,1,"2019-01-01", 1,"Geneva","Geneva","CH",1,1,"desktop","windows","chrome",1,4005572,29838916,"","F",NULL,NULL,NULL,1
2793553,6181448,"2019-01-01",1,0,1,"2019-01-01","","","","",1,1,"mobile","android",NULL,1,4005574,NULL,"","M",NULL,NULL,NULL,1
2793554,6181451,"2019-01-01",1,0,1,"2019-01-01",-5,"Columbus","Ohio","US",1,1,"mobile","ios",NULL,1,4005575,29838935,"","F",NULL,NULL,"2019-01-01",1
2793555,6181447,"2019-01-01",1,0,1,"2019-01-01", 11,"The Rocks","New South Wales","AU",1,1,"desktop","mac","chrome",1,4005576,29838924,"","M",NULL,NULL,NULL,1
2793556,6181449,"2019-01-01",1,0,1,"2019-01-01",3,"Dhahran","Eastern Province","SA",1,1,"desktop","windows","chrome",1,4005577,29838937,"","M",NULL,NULL,NULL,1
2793556,6181459,"2019-01-01",0,1,0,NULL,"","","","",2,1,NULL,NULL,NULL,0,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793556,6181460,"2019-01-01",0,1,0,NULL,"","","","",3,1,NULL,NULL,NULL,0,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793556,6181461,"2019-01-01",0,1,0,NULL,"","","","",4,1,NULL,NULL,NULL,0,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793557,6181455,"2019-01-01",1,0,1,"2019-01-01","","Philadelphia","Pennsylvania","US",1,1,"mobile","ios",NULL,1,4005578,29838970,"","M",NULL,NULL,"2019-01-01",1
2793558,6181452,"2019-01-01",1,0,1,"2019-01-01",-5,"Boynton Beach","Florida","US",1,1,"mobile","ios","safari",1,4005579,29838942,"","F",NULL,NULL,NULL,1
2793559,6181456,"2019-01-01",1,0,1,"2019-01-01",1,"Rimbo","Stockholm","SE",1,1,"mobile","ios","generic browser",1,4005580,29838984,"",NULL,NULL,NULL,NULL,1
2793560,6181450,"2019-01-01",1,0,1,"2019-01-01",-4,"","","US",1,1,"mobile","ios",NULL,1,4005581,29838934,"","F",NULL,NULL,"2019-01-01",1
2793561,6181457,"2019-01-01",1,0,1,"2019-01-01","","","","",1,1,"mobile","android",NULL,1,4005582,29839007,"","M",NULL,NULL,"2019-01-01",1
2793562,6181469,"2019-01-01",1,0,1,"2019-01-01",1,"Stockholm","Stockholm","SE",1,1,"mobile","ios",NULL,1,4005580,29838984,"","M",NULL,NULL,"2019-01-03",1
2793563,6181467,"2019-01-01",1,0,1,"2019-01-01",-5,"Philadelphia","Pennsylvania","US",1,1,"desktop","windows","microsoft edge",1,4005583,29838627,"","M",NULL,NULL,NULL,1
2793564,6181471,"2019-01-01",1,0,1,"2019-01-01",-6,"La Canada","Querétaro","MX",1,1,"mobile","ios",NULL,0,4005585,29839151,"","M","none"," ","2019-01-01",1
2793565,6181472,"2019-01-01",0,0,0,"2019-01-01",-5,"Trenton","New Jersey","US",1,1,"desktop","mac","chrome",0,NULL,29839118,"","F",NULL,NULL,NULL,1
2793566,6181128,"2018-12-31",1,0,1,"2019-01-01",1,"Salerno","Campania","IT",1,1,"mobile","android",NULL,1,4005587,29829405,"","M",NULL,NULL,"2019-01-01",1
2793567,6181478,"2019-01-01",1,0,1,"2019-01-01",-5,"Toronto","Ontario","CA",1,1,"desktop","mac","chrome",0,4005588,29829587,"","F","director","Creative Director ",NULL,1
2793567,7055122,"2019-02-15",0,0,1,"2019-02-15",-4,"Tryon","North Carolina","US",2,1,"mobile","ios","safari",1,4523605,31435539,"","F","none"," ","2019-02-15",1
2793567,7714105,"2019-03-25",0,0,1,"2019-03-25",-4,"New York","New York","US",3,1,"desktop","windows","chrome",0,4925275,39217059,"","F","none","Executive Consultant",NULL,1
2793567,7714127,"2019-03-25",0,0,1,"2019-03-25", 1,"Duino-Aurisina","Friuli Venezia Giulia","IT",4,1,"desktop","mac","safari",0,NULL,39201841,"","M","none",NULL,NULL,1
2793567,7714178,"2019-03-25",0,0,1,"2019-03-25",-7,"Port Angeles","Washington","US",5,1,"desktop","mac","firefox",0,4923840,39204702,"","F","director","Director of Operations",NULL,1
2793567,8303766,"2019-05-02",0,0,1,"2019-05-02",-4,"Toronto","Ontario","CA",6,1,"desktop","mac","chrome",0,NULL,42548007,"","M","none"," ",NULL,1
2793567,8431007,"2019-05-10",0,1,1,NULL,"","","","",7,1,NULL,NULL,NULL,1,NULL,43846282,"",NULL,"none"," ",NULL,1
2793568,6181479,"2019-01-01",1,0,1,"2019-01-01",3,"Riyadh","Ar Riyāḑ","SA",1,1,"desktop","windows","chrome",1,4005589,29839177,"","M",NULL,NULL,NULL,1
2793569,6181480,"2019-01-01",1,0,1,"2019-01-01",1,"Tours","Centre-Val de Loire","FR",1,1,"desktop","mac","safari",1,NULL,29839150,"fr",NULL,NULL,NULL,NULL,1
2793570,6181481,"2019-01-01",1,0,1,"2019-01-01",-5,"Kannapolis","North Carolina","US",1,1,"desktop","mac","chrome",0,1274390,8828820,"","M","none","Attorney Partner",NULL,1
2793571,6181484,"2019-01-01",1,0,1,"2019-01-01", 1,"Antibes","Provence-Alpes-Côte d'Azur","FR",1,1,"mobile","ios","generic browser",0,4005590,29839258,"fr","M","none"," ",NULL,1
2793572,6181488,"2019-01-01",1,0,1,"2019-01-01",11,"Glebe","New South Wales","AU",1,1,"desktop","mac","chrome",0,1240856,8555305,"","F","director","Director",NULL,1
2793573,6181485,"2019-01-01",1,0,1,"2019-01-01", 1,"Vienna","Vienna","AT",1,1,"desktop","mac","safari",1,4005591,29839267,"","M",NULL,NULL,NULL,1
2793574,6181487,"2019-01-01",1,0,1,"2019-01-01",-8,"Burnaby","British Columbia","CA",1,1,"desktop","windows","chrome",0,4005592,29838718,"","F","none"," ",NULL,1
2793575,6181489,"2019-01-01",1,0,1,"2019-01-01",-8,"Abbotsford","British Columbia","CA",1,1,"desktop","mac","safari",1,4005593,29839279,"","M",NULL,NULL,NULL,1
2793576,6181493,"2019-01-01",1,0,1,"2019-01-01",-6,"Ciudad Barrios","Departamento de San Miguel","SV",1,1,"mobile","android","firefox",1,4005594,29839312,"es","M",NULL,NULL,NULL,1
2793577,6181490,"2019-01-01",1,0,1,"2019-01-01",-5,"Nashville","Tennessee","US",1,1,"mobile","ios",NULL,1,4005595,29839292,"","F",NULL,NULL,"2019-01-01",1
2793578,6181482,"2019-01-01",1,0,1,"2019-01-01",-5,"Clarksburg","West Virginia","US",1,1,"desktop","windows","chrome",1,4005596,29839243,"","M",NULL,NULL,NULL,1
2793579,6181496,"2019-01-01",1,0,1,"2019-01-01",2,"Cairo","Cairo Governorate","EG",1,1,"mobile","ios",NULL,0,4005030,29831115,"","M",NULL,NULL,"2019-01-01",1
2793579,6181509,"2019-01-01",0,1,0,NULL,"","","","",2,1,NULL,NULL,NULL,0,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793579,6181517,"2019-01-01",0,1,0,NULL,"","","","",3,1,NULL,NULL,NULL,1,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793579,6181518,"2019-01-01",0,1,0,NULL,"","","","",4,1,NULL,NULL,NULL,1,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793579,6186844,"2019-01-01",0,0,1,"2019-01-02","","Boardman","Oregon","US",5,1,"mobile","android","chrome",0,4009315,29885221,"","M",NULL,NULL,NULL,1
2793579,6186845,"2019-01-01",0,1,0,NULL,"","","","",6,1,NULL,NULL,NULL,0,NULL,NULL,"",NULL,"none","HR Specialist",NULL,1
2793579,6186846,"2019-01-01",0,1,0,NULL,"","","","",7,1,NULL,NULL,NULL,1,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793579,6186861,"2019-01-01",0,1,0,NULL,"","","","",8,1,NULL,NULL,NULL,0,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793579,6186864,"2019-01-01",0,1,0,NULL,"","","","",9,1,NULL,NULL,NULL,0,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793580,6181497,"2019-01-01",1,0,1,"2019-01-01",-7,"Phoenix","Arizona","US",1,1,"mobile","ios",NULL,0,4005597,29839346,"","F","none"," ","2019-01-01",1
2793581,6181498,"2019-01-01",1,0,1,"2019-01-01",-5,"Miami","Florida","US",1,1,"mobile","ios",NULL,1,4005598,29839359,"","M",NULL,NULL,"2019-01-01",1
2793582,6181500,"2019-01-01",1,0,1,"2019-01-01",-6,"Waco","Texas","US",1,1,"desktop","mac","chrome",0,4005599,29839309,"","M","none","Web Developer",NULL,1
2793583,6181504,"2019-01-01",1,0,1,"2019-01-01",-5,"Philadelphia","Pennsylvania","US",1,1,"desktop","mac","chrome",0,4005600,29838895,"","M",NULL,NULL,NULL,1
2793584,6181465,"2019-01-01",1,0,1,"2019-01-01",-6,"Mexico","Distrito Federal","MX",1,1,"desktop","mac","firefox",0,4005603,29839045,"es","M",NULL,NULL,NULL,1
2793585,6181503,"2019-01-01",1,0,1,"2019-01-01",-7,"San Tan Valley","Arizona","US",1,1,"desktop","mac","safari",1,4005604,29839391,"","M",NULL,NULL,NULL,1
2793586,6181502,"2019-01-01",1,0,1,"2019-01-01",-6,"Winnipeg","Manitoba","CA",1,1,"desktop","windows","chrome",0,4005605,29839390,"","M","executive","VP, General Manager",NULL,1
2793587,6181506,"2019-01-01",1,0,1,"2019-01-01",-8,"Santa Rosa","California","US",1,1,"desktop","windows","chrome",1,3984523,29610734,"","M",NULL,NULL,NULL,1
2793588,6181501,"2019-01-01",1,0,1,"2019-01-01",8,"Wenzhou","Zhejiang","CN",1,1,"desktop","mac","chrome",1,NULL,29839369,"",NULL,"none","My work  ",NULL,1
2793589,6181511,"2019-01-01",1,0,1,"2019-01-01",-5,"Hollywood","Florida","US",1,1,"desktop","mac","safari",1,4005606,29839447,"","F",NULL,NULL,NULL,1
2793590,6181508,"2019-01-01",1,0,1,"2019-01-01",-8,"Montgomery","Alabama","US",1,1,"desktop","windows","microsoft edge",1,4005607,29839453,"",NULL,NULL,NULL,NULL,1
2793591,6181516,"2019-01-01",1,0,1,"2019-01-01", 8,"Perth","Western Australia","AU",1,1,"mobile","ios","safari",0,4005608,29839522,"","M","director","Director","2019-01-01",1
2793592,6181514,"2019-01-01",1,0,1,"2019-01-01","","Chesterton","Indiana","US",1,1,"mobile","ios",NULL,1,4005609,29839517,"","M",NULL,NULL,"2019-01-01",1
2793593,6181525,"2019-01-01",1,0,1,"2019-01-01",-5,"Mississauga","Ontario","CA",1,1,"desktop","mac","chrome",0,4005610,29839560,"","F",NULL,NULL,NULL,1
2793594,6181523,"2019-01-01",1,0,1,"2019-01-01",-5,"Paramus","New Jersey","US",1,1,"desktop","windows","chrome",1,4005612,29839620,"","M",NULL,NULL,NULL,1
2793595,6181522,"2019-01-01",1,0,1,"2019-01-01",-8,"Oakland","California","US",1,1,"desktop","windows","firefox",1,4005613,29839567,"","M",NULL,NULL,NULL,1
2793595,6181529,"2019-01-01",1,1,0,NULL,"","","","",2,1,NULL,NULL,NULL,1,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793596,6181530,"2019-01-01",1,0,1,"2019-01-01","","Musselburgh","Scotland","GB",1,1,"mobile","ios",NULL,1,4005614,29839699,"","M",NULL,NULL,"2019-01-01",1
2793597,6181535,"2019-01-01",1,0,1,"2019-01-01",10,"Waterford","Queensland","AU",1,1,"desktop","windows","chrome",1,4005615,29839631,"","F",NULL,NULL,NULL,1
2793598,6181392,"2019-01-01",1,0,1,"2019-01-01",-5,"Chester","Virginia","US",1,1,"desktop","mac","chrome",1,4005616,29838270,"","F",NULL,NULL,NULL,1
2793599,6181538,"2019-01-01",1,0,1,"2019-01-01","","Santiago Tepetitlan","Estado de Mexico","MX",1,1,"mobile","ios",NULL,1,4005618,29839782,"","F",NULL,NULL,"2019-01-02",1
2793600,6176792,"2018-12-31",1,0,1,"2019-01-01",-8,"Orange","California","US",1,1,"mobile","android","chrome",0,4005620,29809711,"","F","none"," ",NULL,1
2793601,6181499,"2019-01-01",1,0,1,"2019-01-01",-6,"","","US",1,1,"mobile","ios",NULL,0,4005621,29839363,"","M","none"," ","2019-01-01",1
2793602,6181536,"2019-01-01",1,0,1,"2019-01-01",8,"Perth","Western Australia","AU",1,1,"mobile","ios","safari",0,4005608,29839522,"","M","director","Director","2019-01-01",1
2793603,6181541,"2019-01-01",1,0,1,"2019-01-01",-5,"Indian Trail","North Carolina","US",1,1,"desktop","mac","chrome",0,4005623,26672957,"","F","none"," ",NULL,1
2793604,6181542,"2019-01-01",1,0,1,"2019-01-01",-7,"Twin Falls","Idaho","US",1,1,"desktop","mac","safari",1,4005624,29839859,"","M","executive","CEO ","2019-01-26",1
2793605,6181546,"2019-01-01",1,0,1,"2019-01-01",-6,"Rock Island","Illinois","US",1,1,"mobile","ios",NULL,1,4005625,29839873,"","M",NULL,NULL,"2019-01-01",1
2793606,6181547,"2019-01-01",1,0,1,"2019-01-01","","Colombo","Western Province","LK",1,1,"mobile","ios",NULL,1,4005626,29839903,"","M",NULL,NULL,"2019-01-01",1
2793607,6181548,"2019-01-01",1,0,1,"2019-01-01",-6,"Laredo","Texas","US",1,1,"mobile","android",NULL,0,4005627,29839202,"","M",NULL,NULL,"2019-01-01",1
2793608,6181544,"2019-01-01",1,0,1,"2019-01-01",-5,"Orlando","Florida","US",1,1,"desktop","mac","safari",1,4005628,29839865,"","M",NULL,NULL,NULL,1
2793609,6181550,"2019-01-01",1,0,1,"2019-01-01", 1,"Oslo","Oslo County","NO",1,1,"mobile","ios","generic browser",0,4005629,29839912,"","M",NULL,NULL,NULL,1
2793610,6181549,"2019-01-01",1,0,1,"2019-01-01",-6,"Orland Park","Illinois","US",1,1,"mobile","android",NULL,1,3993363,9351570,"","M",NULL,NULL,"2019-01-07",1
2793611,6181552,"2019-01-01",1,0,1,"2019-01-01",10,"Adelaide","South Australia","AU",1,1,"mobile","ios",NULL,1,2075533,13089389,"","M",NULL,NULL,"2019-01-01",1
2793612,6181555,"2019-01-01",1,0,1,"2019-01-01",-8,"Tacoma","Washington","US",1,1,"desktop","mac","safari",1,4005630,29839663,"",NULL,NULL,NULL,NULL,1
2793612,6181565,"2019-01-01",0,1,0,NULL,"","","","",2,1,NULL,NULL,NULL,1,NULL,NULL,"",NULL,NULL,NULL,NULL,1
2793613,6181551,"2019-01-01",1,0,1,"2019-01-01",-5,"Mississauga","Ontario","CA",1,1,"mobile","android","chrome",1,4005632,29839920,"","M",NULL,NULL,NULL,1
2793614,6181512,"2019-01-01",1,0,1,"2019-01-01",-8,"Las Vegas","Nevada","US",1,1,"desktop","windows","firefox",1,4005633,29839490,"","M",NULL,NULL,NULL,1
2793615,6181558,"2019-01-01",1,0,1,"2019-01-01",5.5,"Phoenix","Arizona","US",1,1,"desktop","mac","chrome",0,4005634,29840002,"","M",NULL,NULL,NULL,1
2793616,6181559,"2019-01-01",1,0,1,"2019-01-01",-6,"Bowling Green","Kentucky","US",1,1,"mobile","ios",NULL,1,4005635,29840009,"","F",NULL,NULL,"2019-01-01",1
2793617,6181564,"2019-01-01",1,0,1,"2019-01-01",-5,"Washington","District of Columbia","US",1,1,"mobile","ios",NULL,1,4005636,29840030,"","M",NULL,NULL,"2019-01-01",1
2793618,6181556,"2019-01-01",1,0,1,"2019-01-01",-6,"Villahermosa","Tabasco","MX",1,1,"desktop","mac","safari",1,4005637,29839967,"es","M","none","Teacher ","2019-01-02",1
2793618,6194591,"2019-01-02",0,1,0,NULL,"","","","",2,1,NULL,NULL,NULL,1,NULL,29839967,"es",NULL,NULL,NULL,NULL,1
2793619,6181560,"2019-01-01",1,0,1,"2019-01-01",-7,"Hermosillo","Sonora","MX",1,1,NULL,NULL,NULL,1,4005638,29840004,"","M",NULL,NULL,"2019-01-01",1
2793620,6181563,"2019-01-01",1,0,1,"2019-01-01","","","","",1,1,"mobile","android",NULL,1,4005639,29840011,"","F",NULL,NULL,"2019-01-01",1
2793620,6181580,"2019-01-01",0,0,1,"2019-01-01",-5,"Ocala","Florida","US",2,1,"mobile","android","chrome",1,4005668,29840279,"","M",NULL,NULL,NULL,1
2793621,6181568,"2019-01-01",1,0,1,"2019-01-01",8,"Perth","Western Australia","AU",1,1,"mobile","ios","safari",0,2623559,18344189,"","M",NULL,NULL,NULL,1
2793621,6187653,"2019-01-02",1,0,1,"2019-01-02", 8,"Beaudesert","Queensland","AU",2,1,"desktop","windows","microsoft edge",0,4008422,29877048,"","M",NULL,NULL,NULL,1
2793622,6181569,"2019-01-01",1,0,1,"2019-01-01",9,"Seoul","Seoul","KR",1,1,"desktop","windows","chrome",0,4005640,29840050,"","M","none"," ",NULL,1
