"DATE","user_id","account_id","total_events","column_events","board_events","num_of_boards","count_kind_columns","raw_events","group_events","invite_events","import_events","notification_events","new_entry_events","payment_events","inbox_events","communicating_events","non_communicating_events","web_events","ios_events","android_events","desktop_app_events","empty_events"
"2019-01-14",6183881,2794397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6181360,2793530,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6182529,2794162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6181904,2793791,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-07",6184087,2794491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-09",6182248,2793951,79,0,0,1,0,0,0,0,3,0,3,0,0,0,6,8,0,0,67,4
"2019-01-14",6182846,2794137,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-12",6182787,2794112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-07",6182850,2794139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-04",6192423,2794086,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183231,2794213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-04",6181922,2793796,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-10",6191780,2794038,20,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,1
"2019-01-14",6183993,2794450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-11",6181794,2793724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6182113,2793836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183466,2794247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6183843,2794374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-12",6182280,2793835,28,1,0,1,1,2,0,0,1,0,1,0,0,1,5,27,0,0,0,1
"2019-01-05",6181737,2793718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6199948,2793896,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6321122,2793823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-15",6232982,2794184,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6183320,2794437,41,2,0,1,2,1,0,0,1,0,1,0,0,0,9,35,0,0,0,2
"2019-01-03",6183825,2794368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-15",6271512,2794383,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-12",6271515,2794383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183502,2794251,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183457,2794247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183240,2794213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-13",6235868,2794479,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"2019-01-01",6182707,2794088,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2019-01-11",6182763,2794094,187,15,0,2,1,11,0,0,4,0,4,0,1,0,38,12,0,0,167,6
"2019-01-15",6181556,2793618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6182304,2793917,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183403,2794238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6183379,2794238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183061,2794191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6184029,2794468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183978,2794440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6177247,2794049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6182455,2793992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-07",6182899,2794172,453,55,5,2,7,6,0,7,4,0,1,7,7,0,87,429,0,0,0,6
"2019-01-05",6182903,2794160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-12",6182408,2793956,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-01",6181341,2793496,43,0,0,0,0,0,0,0,1,0,1,0,1,0,2,33,0,0,0,7
"2019-01-03",6181398,2793527,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183800,2794357,860,58,4,3,4,24,2,3,9,0,6,5,7,1,139,674,130,0,0,39
"2019-01-01",6181358,2793514,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,8
"2019-01-05",6182567,2794048,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6182730,2794082,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183885,2794399,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182970,2794177,125,0,1,1,0,0,0,0,2,0,1,0,7,1,11,104,0,0,0,13
"2019-01-14",6181826,2793741,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-04",6189030,2793683,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-09",6182492,2794016,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"2019-01-02",6182778,2794104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6181866,2793757,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6183897,2794403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182000,2793805,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6181456,2793559,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6183907,2794413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6182301,2793922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6182489,2794015,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6182367,2793950,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6181457,2793561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182840,2794129,376,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,356,0,0,2
"2019-01-01",6322467,2794238,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"2019-01-03",6183519,2794252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6182158,2793853,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6181713,2793712,53,0,0,0,0,0,0,0,2,0,1,0,1,0,2,42,0,0,0,7
"2019-01-10",6182619,2794067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6183900,2794411,95,36,0,1,5,6,1,0,0,0,0,0,0,0,45,91,0,0,0,0
"2019-01-08",6181698,2793703,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182201,2793872,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2019-01-02",6182330,2793936,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-13",6345078,2794038,88,0,0,1,0,1,0,0,3,0,2,0,1,4,7,81,0,0,0,4
"2019-01-01",6181489,2793575,55,0,0,0,0,0,0,0,2,0,1,0,1,1,2,44,0,0,0,7
"2019-01-02",6181899,2793781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-12",6181841,2793744,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6183674,2794291,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-15",6182455,2793992,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"2019-01-01",6183026,2794175,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183394,2794238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183605,2794257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183598,2794257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6182524,2794029,26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,0,0,0
"2019-01-14",6183043,2794188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183667,2794044,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6323019,2794419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-02",6182852,2794140,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-06",6181697,2793702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183473,2794247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6191784,2794038,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6181506,2793587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6182880,2794153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-15",6182474,2794004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183482,2794247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6183880,2794398,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-04",6213725,2793845,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"2019-01-05",6183786,2794354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-08",6181878,2793769,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-05",6183669,2794287,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6182166,2793855,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183026,2794175,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6181720,2793710,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6184050,2794473,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-09",6192425,2794086,43,0,0,1,0,0,0,0,1,0,1,0,0,0,3,23,0,0,0,2
"2019-01-11",6182265,2793901,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-01",6182967,2794169,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6
"2019-01-03",6182087,2793827,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6181599,2793642,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2019-01-14",6177247,2794049,51,0,0,0,0,0,0,0,1,0,1,1,1,0,2,44,0,0,0,4
"2019-01-03",6182628,2794075,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6183185,2794215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-08",6184042,2794467,47,0,0,2,0,0,0,0,1,0,1,2,1,0,5,43,0,0,0,4
"2019-01-03",6182979,2794167,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6348298,2794465,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2019-01-10",6182306,2793919,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6181350,2793499,52,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,32,0,6
"2019-01-04",6222444,2793906,243,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,223,0,0,1
"2019-01-11",6181952,2793804,64,0,0,1,0,0,0,0,4,0,1,0,2,0,4,61,0,0,0,3
"2019-01-01",6182055,2793829,225,9,2,2,4,7,0,0,2,0,1,0,7,1,39,208,0,0,0,15
"2019-01-01",6182899,2794172,231,0,3,3,0,0,0,1,7,0,2,1,6,1,13,209,0,0,0,22
"2019-01-05",6181401,2793529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6181393,2793524,88,0,0,0,0,0,0,0,3,0,1,0,2,1,3,68,0,0,0,15
"2019-01-01",6182205,2793874,425,27,4,4,3,9,0,5,4,0,2,2,10,0,89,346,51,0,0,18
"2019-01-14",6181876,2793766,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6183621,2794264,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182382,2793959,259,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,242,0,0,5
"2019-01-03",6182328,2793932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6181862,2793756,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6181698,2793703,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-15",6181597,2793752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6182188,2793869,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6322117,2794182,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2019-01-10",6182483,2794008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183534,2794252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6182751,2794092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6181819,2793734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6181783,2793717,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-09",6293276,2794086,6,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1
"2019-01-02",6181587,2793629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183545,2794252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6182797,2794120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182124,2793838,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6182823,2794126,48,0,0,0,0,0,0,0,1,0,1,0,1,0,2,31,0,0,0,12
"2019-01-01",6183008,2794167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6186183,2794423,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2019-01-15",6181652,2793678,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6181876,2793766,31,0,0,0,0,0,0,0,1,0,1,0,0,0,1,20,0,0,0,5
"2019-01-14",6181345,2793498,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6181360,2793530,436,34,2,1,4,11,4,0,6,0,4,0,8,2,79,394,0,0,0,34
"2019-01-01",6182396,2793963,85,3,1,1,1,8,0,0,0,0,1,0,1,0,15,74,0,0,0,9
"2019-01-03",6183521,2794252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6181358,2793514,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6182265,2793901,27,0,0,0,0,0,0,0,1,0,0,0,1,0,1,23,0,0,0,0
"2019-01-02",6181538,2793599,23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,0,0,0
"2019-01-15",6182319,2793926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6181398,2793527,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6182827,2794129,219,16,0,4,4,14,0,0,5,0,3,0,3,2,54,207,0,4,0,5
"2019-01-03",6181680,2793694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-06",6182121,2793840,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"2019-01-15",6182160,2793854,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6182355,2793944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6183307,2794230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6182495,2794017,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"2019-01-04",6192422,2794086,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6182223,2793884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-07",6183793,2794355,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"2019-01-15",6181605,2793645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6183640,2794277,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6183761,2794335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6364671,2794126,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183993,2794450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-08",6181536,2793602,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-04",6184025,2794462,40,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,39,0,0,0
"2019-01-03",6183201,2794213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6182653,2794086,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183418,2794238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182835,2794133,129,0,1,1,0,0,0,0,10,0,1,2,1,1,4,106,0,0,0,21
"2019-01-01",6182139,2793845,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6184050,2794473,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6181726,2793713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6209168,2794465,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-05",6182287,2793912,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183597,2794257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-09",6183630,2794269,30,1,0,1,1,0,0,0,0,0,1,0,1,0,5,29,0,0,0,1
"2019-01-02",6186864,2793579,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183422,2794238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6182298,2793915,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6183782,2794350,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182986,2794167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6182492,2794016,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182648,2794084,116,3,1,1,2,2,0,0,6,0,1,0,1,2,10,95,0,0,0,13
"2019-01-15",6181878,2793769,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6181629,2793659,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,14
"2019-01-03",6181339,2793497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183899,2794408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183508,2794256,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183398,2794238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6181425,2793536,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-04",6183806,2794363,212,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,196,0,0,1
"2019-01-03",6182093,2793827,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183373,2794230,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182067,2793827,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-08",6182190,2793860,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6321486,2793965,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2019-01-01",6181570,2793627,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3
"2019-01-01",6183512,2794252,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-05",6232979,2794184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6181950,2793803,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-11",6182054,2793828,172,0,1,1,0,0,0,1,15,0,1,4,2,0,5,119,0,9,0,23
"2019-01-01",6182040,2793824,78,0,1,1,0,1,0,0,2,0,1,0,1,2,10,61,0,0,0,9
"2019-01-05",6184068,2794481,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6181362,2793509,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-15",6182484,2794154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-02",6182420,2793978,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6181997,2793805,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6191056,2794495,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183078,2794191,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-08",6181637,2793667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182374,2793952,292,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,265,0,0,12
"2019-01-14",6183936,2794422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183987,2794445,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
